Category,Question,Answer
plant protection & nourishment,attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,attack of blight on chill ?,spray saaf 30 gm / 15 liters of water (carbendazim 12% + mancozeb 63% wp ) upl
plant protection & nourishment,weed management in bengal gram ?,spray pendimethylin 1-1.5 kg a.i/ha in 800-1000 lit of water
varieties,asked about variety of cauliflower ?,"cauliflower variety golden acre, pride of india ,silection 8"
varieties,varieties of papaya ?,varieties of papaya -taiwan -786 washington co-1 co- 2 co- 4 pusa majesty
varieties,asked about varieties of groundnut ?,varieties of groundnut -sb-11 tag-24 tpg-41 tg-26 phule -285 western -44 phule- unnati jl-24
varieties,asked about varieties of maize ?,"varieties of maize -p3546 p3396 ,p3533 p3522, nk-6240, manjari ,karvir vivek- sankul ,panchganga,nk-30"
varieties,varieties of wheat ?,varieties of wheat - nidw -15 (panchvati) niaw-301 (tryambak ) niaw-1415 (netravati) niaw-917(tapowan ) ajeet-202 ajeet-349
varieties,varieties of bitter  gourd ?,"varieties of bitter  gourd - phule green gold ,hirkani,arka harit."
varieties,asked about varieties  of chilli ?,varieties of chilli -pusa jwala sankeshwari-32 tejswini sitara phule jyoti pant c agnirekha
varieties,asked about varieties of brinjal ?,varieties of brinjal -manjari gota vaishali pragati aruna krushna arjun gaurav
varieties,varieties of chilli ?,varieties of chilli -agni -jwala sankeshwari-32 tejswini sitara phule jyoti pant c agnirekha
varieties,farmer asked about drum stick veriety ?,"modified castes:kokan ruchira, p. k. m-1 and 2 and dhanraj are improved verieties of drum stick ."
varieties,varieties of papaya ?,varieties of papaya -taiwan -786 washington co-1 co- 2 co- 4 pusa majesty
varieties,asked about varieties of bitter gourd?,"varieties:arka harit ,priya and preethi , phule green gold,hirakani"
varieties,varieties of groundnut ?,varieties of groundnut -sb-11 tag-24 tpg-41 tg-26 phule -285
varieties,asked about varieties of drumstick?,"varieties of drumstick  -  moringa,kokan ruchira,odissi,dhanraj"
varieties,varieties of papaya ?,varieties of papaya -taiwan -786 washington co-1 co- 2 co- 4 pusa majesty
varieties,farmer asked about varieties of bengal gram ?,"varieties of bengal gram - vijay ,digvijay, vishal, vikas, jaki-9218, phule g-12"
varieties,varieties of onion ?,varieties of onion -  no -53 poona fursungi baswant-780 no-2-4-1 phule suvarna agrifound dark red
varieties,asking about varieties of maize ?,"varieties of maize -p3546 p3396 ,p3533 p3522, nk-6240, manjari ,karvir vivek- sankul ,panchganga,nk-30"
varieties,asking about varieties of ginger ?,varieties of ginger -  mahim varada mahima suprabha suruchi surbhi rio -de -janario
varieties,varieties of tomato ?,varieties of tomato -pusa rubi pusa shital arka gaurav roma rupali  bhagyashree jkth-811 jk -akshay krishna avinash-2 avishkar ananya
varieties,varieties of capsicum ?,varieties of capsicum -arka gaurav arka mohini california wonder yellow wonder indra bharat ankur-19
varieties,varieties of chilli ?,varieties of chilli -pusa jwala sankeshwari-32 tejswini sitara phule jyoti pant c agnirekha
varieties,asked about varieties of okra?,"varieties of okra -mdu 1, arka anamika, arka abhay and parbhani kranti,phule utkarsha , phule vimukta"
varieties,groundnut varieties?,"varieties groundnutproduction of varieties (q / ha)tag 24 18-20 quint / oj.l 24 18-20 q / osb 11 10-12 quint / ot.k. 19 15-18 q / oa. k 159 20-22 q / osb 11 14-20 quint / ofertilizerorganic filling should be done according to availability or as per the requirement. for both bhui mung crop, watercolumni vitric acid (eichomia crasspes) will be used as the best organic fertilizer."
varieties,varieties of coriander ?,"???? 65 ?? 5365 ?????? 16 ????? 1 ????? 2 ??? ??-1, ??-92 ??-94 ?? 214 ?? 45 ?? ?????????????? ???????? ??? ??????? ???? ????."
varieties,varieties of drumstick ?,varieties of drumstick  -moringa odisi pkm-1 pkm-2 co-1 sidhivinayak shevga konkan ruchira
varieties,varieties of chilli ?,varieties of chilli -pusa jwala sankeshwari-32 tejswini sitara phule jyoti pant c agnirekha
varieties,varieties of bhendi ?,varieties of bhendi -phule utkarsha parbhani kranti arka anamika arka abhay mahyco -64 shan sahiba
varieties,asked about varieties french bean ?,"varieties french bean--phule suyash, pant anupama, pusa parvati, arka komal"
varieties,asking about varieties of fenugreek ?,varieties of fenugreek  - 1 rajsthan methi- 1 no-47 prabha pusa early bunching kasuri
varieties,varieties of tomato ?,varieties of tomato -pusa rubi pusa shital arka gaurav roma rupali vaishali  bhagyashree jkth-811 jk -akshay
varieties,varieties of wheat ?,varieties of wheat - nidw -15 (panchvati) niaw-301 (tryambak ) niaw-1415 (netravati) niaw-917(tapowan ) ajeet-202 ajeet-349 
varieties,varieties of drumstick ?,"varieties of drumstick  -bhagya ,pkm-1, pkm-2, co-1, co2, konkan ruchira, sidhivinayak shevga,  moringa odisi ."
varieties,farmer asked about veriety of drum stick ?,"drumstick veriety - moringa, ruchira, pkm-1, pkm-2, coimbatore 1"
varieties,asked about varieties of custard apple ?,varieties of custard apple -balanagar arka sahan tp-7 daulatabad dharur-6 phule purandar punyashloka ahilyadevi maharashtra mendhi va sheli vikas mahamandal ltd -0240-2370449
varieties,varieties of papaya ?,varieties of papaya -taiwan -786 washington co-1 co- 2 co- 4 pusa majesty
varieties,varieties of ridge gourd ?,varieties of ridge gourd -jk malvika rama dhanush mayuri
varieties,farmer asking about  varieties of guava ?,varieties of guava -sardar (lukhnow-49) vnr bihi -1
varieties,varieties of tomato ?,varieties of tomato -pusa rubi pusa shital arka gaurav roma rupali vaishali  bhagyashree jkth-811 jk -akshay krishna avinash-2
weather,asking about weather forecast?,this week weather is mostly clear
weather,asking about weather forecast ?,this week weather is mostly clear  and cool .
weather,asking about weather forecast ?,this week weather is mostly clear temp :- min.13 degree and max. 30
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,this week weather is mostly cloudy and no possibility of rainfall
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this week. temp -min 13°c and max 32°c.
weather,asking about weather forecast?,"weather forecast - in the coming week, the atmosphere will remain partially cloudy, maximum temperature is 28 degrees celsius. the minimum temperature is 15 degrees celsius."
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,farmer asking about weather forecast of block ?,weather forecast of block-this week weather is clear and no possibility of rainfall chances .
weather,asking about weather forecast?,this week weather is cloudy and light -moderate possibility of rainfall
weather,farmer asking about weather forecast ?,this week weather is cloudy and light possibility of rainfall .
weather,asking about weather forecast?,this week partially weather is cloudy and possibility of light rainfall
weather,asking about weather forecast ?,this week weather is mostly clear
weather,farmer asked about weather forecast of nashik tahsil ?,weather report of nasik tahsil -this week weather is cloudy and no rainfall chances during this week
weather,farmer asked about weather forecast of tahsil niphad nasik ?,weather forecast of tahsil niphad nasik -this week weather is clear and no possibilities of rainfall.
weather,asking about weather forecast?,this week weather partly cloudy and no  possibility of rainfall.
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"as per the information received from the indian meteorological department, there is no possibility of rainfall in the district for the next five days. the temperature is 27 degrees maximum"
weather,asking about weather forecast?,"weather forecasts - the weather will remain cloudy in the coming weeks, there is no chance of rain"
weather,asking about weather forecast ?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast ?,"according to the meteorological department, this week the atmosphere will be partly cloudy and there is no possibility of rainfall."
weather,asking about weather forecast ?,"this week weather is mostly clear , no rainfall chances temp -min.7 degree and max.23"
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances
weather,asking about weather forecast?,"this week weather will be partly cloudy, there is a possibility of light rainfall in some spots."
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this
weather,asking about weather forecast?,this week weather is mostly  cloudy and  no  possibility of rainfall
weather,asking about weather forecast ?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast ?,today is weather is partially cloudy and no possibility of rainfall
weather,asking about weather forecast ?,this week weather is cloudy and no  possibility of rainfall.
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,"weather forecasts - the weather will remain cloudy in the coming weeks, there is no chance of rain"
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast ?,"according to the meteorological department,this week weather is clear, no chance of rainfall in  tehsil"
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,farmer asked about weather forecast ?,this week weather is cloudy and possibility of light   rainfall chances
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this
weather,farmer asking about weather forecast ?,weather forecast  -this week  weather is clear  and no possibility  of rainfall chances .
weather,asking about weather forecast?,this week weather mostly clear and no possibility of rainfall.
weather,asking about weather forecast?,this week weather is cloudy and light -moderate possibility of rainfall
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast?,"today weather is cloudy,possiblity of light rainfall."
weather,asking about weather forecast?,this week weather is cloudy and light possibility of rainfall
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this week-
weather,asking about weather forecast?,weather in tahsil is partly cloudy and no possibility of rainfall.
weather,asking about weather forecast?,this week weather is mostly cloudy and possibility of rainfall
weather,asking about weather forecast?,weather is partially cloudy and no possibility of rainfall.
weather,asking about weather forecast?,this week weather is mostly cloudy and no possibility of rainfall
weather,farmer asking about weather forecast,this week weather is mostly clear and no possibility  of rainfall chances.
weather,asking about weather forecast ?,"as per the information received from the indian meteorological department, there is no possibility of rainfall in the district for the next five days. the temperature is 27 degrees maximum"
weather,asking about weather forecast ?,this week weather is cloudy and light possibility of rainfall
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this week-
weather,farmer asking about weather forecast ?,this week weather is cloudy and no rainfall chances .
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,"this week weather is mostly clear  ,cool and no possibility of rainfall"
weather,asking about weather forecast?,this week weather is clear
weather,asking about weather forecast ?,this week weather is cloudy and no  possibility of rainfall.
weather,farmer asking about weather  forecast  of nandura block ?,weather  forecast  of nandura block  -this week weather is mostly clear and no possibility of rainfall  chances .
weather,farmer asking about weather forecast?,weather forecast  - this week weather is mostly clear and no possibility of rainfall chances .
weather,asking about weather forecast?,this week weather is mostly clear
weather,asking about weather forecast?,this week weather partly cloudy and no possibility of rainfall.
weather,asking about weather forecast?,this week weather is mostly clear temp -min.-16 degree and max.- 29
weather,asking about weather forecast?,this week weather is mostly clear temp -min.-16 degree and max.- 29
weather,asking about weather forecast?,"weather is partially cloudy and no possibility of rainfall, temprature maximum 30 degree celcius minimum 12 degree celcius."
weather,asking about weather forecast?,this week weather is mostly clear temp -min.-09degree and max.- 29
weather,asking about weather forecast tahsil ?,tahsil weather report- this week weather is cloudy and possibility  light rainfall .
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this week. temp -min.-14 degree and max.- 26
weather,asking about weather forecast?,this week weather partly cloudy and possibility of light rainfall.
weather,farmer asked about weather forecast of tahsil niphad nasik ?,weather forecast of tahsil niphad nasik -this week weather is clear and no possibilities of rainfall.
weather,asking about weather forecast?,weather forecast - todays weather of khamgaon tahsil cloudy and no posibility of rainfall.
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast?,this week weather is clear and no possibility of  rainfall .
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this
weather,asking about weather forecast ?,"according to the meteorological department,this week weather is clear, no chance of rainfall in  tehsil"
weather,asking about the temperature of niphad ?,the temperature of niphad  - 16 degree celcius
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,this week weather is mostly clear temp -min.-16 degree and max.- 29.
weather,asking about weather forecast?,this week weather is mostly clear
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances during this weektemp -min.-16 degree and max.- 29
weather,farmer asking about weather forecast of nashik block ?,weather forecast of nashik block-this week weather is clear and no possibility of rainfall chances .
weather,asking about weather forecast?,this week weather is mostly clear temp -min.-16°c  and max.- 29 °c.
weather,asking about weather forecast?,there will be cloudy weather in the coming weeks and there is no chance of rainfall.
weather,asking about weather forecast?,this week weather partly cloudy and no possibility of rainfall.
weather,"asking about weather forecast  of nandgaon, nashik?","this week nandgaon, nashik   weather partly cloudy and possibility of light rainfall."
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances during this weektemp -min.-16 degree and max.- 29
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances during this weektemp -min.-16 degree and max.- 29
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances during this weektemp -min.-16 degree and max.- 29
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances during this weektemp -min.-16 degree and max.- 29
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances during this weektemp -min.-16 degree and max.- 29
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances during this weektemp -min.-16 degree and max.- 29
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances during this weektemp -min.-16 degree and max.- 29
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this
weather,asking about weather forecast?,this week weather is cloudy and possibility of rainfall
weather,farmer asking about weather forecast ?,this week weather is cloudy and no rainfall chances .
weather,asking about weather forecast?,this week weather is mostly clear
weather,asking about weather forecast?,"this week weather is mostly clear ,cool  and no possibility of rainfall"
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast ?,this week weather is partially cloudy and no possibility of rainfall temp -min.-22 degree and max.- 36
weather,asking about weather forecast?,this week weather is mostly clear temp -min.-16 degree and max.- 29
weather,farmer asking about weather forecast?,this week weather is cloudy and no rainfall chances during this week.
weather,asking about weather forecast,? this week weather is cloudy and no rainfall chances during this weektemp -min.-10 degree and max.- 29
weather,asking about weather forecast?,this week weather is cloudy and  rainfall chances during this week-
weather,asking about weather forecast?,"weather forecast - in the coming week, the atmosphere will remain partially cloudy, maximum temperature is 28 degrees celsius. the minimum temperature is 15 degrees celsius."
weather,asking about weather forecast?,this week weather partly cloudy and no possibility of rainfall.
weather,asking about weather forecast?,"this week weather is clear, nopossibility of  rainfall"
weather,asking about weather forecast?,"weather forecasts - the weather will remain cloudy in the coming weeks, there is no chance of rain"
weather,asking about weather forecast ?,this week weather is clear and no rainfall chances
weather,asking about weather forecast?,this week weather is mostly clear
weather,asking about weather forecast?,this week weather is cloudy and light possibility of rainfall
weather,asking about weather forecast?,this week weather will clear there will be no possibility of rainfall .
weather,asking about weather forecast ?,"today weather is mostly clear, and  temp -min.9  degree and max 26"
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,this week weather is mostly clear temp -min.-14 degree and max.- 29
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,this week weather is partially cloudy and no possibility of rainfall temp -min.-22 degree and max.- 36
weather,asking about weather forecast?,"weather forecasts - the weather will remain cloudy in the coming weeks, there is no chance of rain"
weather,farmer asking about weather forecast of tahsil ?,weather in nandgaon tahsil is clear  and no possibility of rainfall.
weather,farmer asked about weather forecast ?,this week weather is cloudy and no rainfall chances during this week
weather,asking about weather forecast?,this week weather is mostly clear &  temp -min.-12  degree and max.- 30
weather,farmer asking about weather forecast of tahsil ?,weather in yeola tahsil is clear  and no possibility of rainfall.
weather,asking about weather forecast ?,"according to the meteorological department,this week weather is clear, no chance of rainfall in  tehsil"
weather,asking about weather forecast?,this week weather partly cloudy and no possibility of rainfall.
weather,farmer asking about weather forecast of  chandvad block ?,weather forecast of  chandvad  block- weather is clear  and no possibility of rainfall chances .
weather,asking about weather forecast?,"today  weather is cloudy,no possiblity of  rainfall."
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,farmer asked  about weather forecast?,this week weather is cloudy  and possibility of light  rainfall
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,this week weather is mostly clear temp -min.-14 degree and max.- 28
weather,asking about weather forecast?,this week weather is mostly clear temp -min.-15 degree and max.- 19
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this
weather,asking about weather forecast?,"this week weather will remain partly cloudy, there will be no possibility of rainfall ."
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,farmer asking about weather forecast ?,this week weather is mostly clear and no possibility of rainfall chances .
weather,asking about weather forecast ?,this week weather is mostly clear temp :- min.13 degree and max. 30
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,farmer asking about weather forecast of niphad  block ?,"weather forecast of niphad  block - this week weather is mostly clear ,cool and no possibility of rainfall chances ."
weather,asking about weather forecast?,this week weather is mostly clear
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this .
weather,asking about weather forecast of niphad ?,weather forecast of niphad: this week weather is mostly clear and no possibility of rainfall .
weather,asking about weather forecast ?,this week weather is mostly clear temp :- min.16 degree and max. 30
weather,asking about weather forecast ?,this week weather is cloudy and possibility of light - moderate rainfall.
weather,asking about weather forecast ?,"according to the meteorological department,this week weather is clear, no chance of rainfall in  tehsil"
weather,asking about weather forecast?,"this week weather is clear,no possiblity of rainfall."
weather,farmer asked about weather forecast ?,this week weather is cloudy and no rainfall chances during this week
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,this week weather is mostly clear temp.
weather,asking about weather forecast?,this week weather is mostly clear temp -min.-16 degree and max.- 29
weather,asking about weather forecast?,this week weather is mostly clear temp -min.-16 degree and max.- 29
weather,farmer asking about weather forecast ?,weather forecast  -this week  weather is clear  and no possibility  of rainfall chances .
weather,asking about weather forecast ?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this week. temp -min.-15  degree and max.- 30
weather,asking about weather forecast?,this week weather is mostly clear
weather,asking about weather forecast?,this week weather is mostly clear
weather,farmer asking about weather forecast of block ?,weather forecast of block-this week weather is clear and no possibility of rainfall chances .
weather,asking about weather forecast ?,"according to the meteorological department,this week weather is clear, no chance of rainfall in  tehsil"
weather,asking about weather forecast?,this week weather is mostly clear temp -min.-9 degree and max.- 29
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,this week weather is mostly clear temp -min.-16 degree and max.- 29
weather,asking about weather forecast ?,"according to the meteorological department,this week weather is clear, no chance of rainfall in  tehsil"
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,this week weather is cloudy and light -moderate possibility of rainfall
weather,farmer asking about weather forecast   ?,"weather forecast - weather is partially cloudy and no possibility of rainfall chances , temperature maximum 27 degree celsius minimum  14  degree celsius."
weather,asking about weather forecast?,this week weather is clear and no rainfall chances
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances.
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,"weather forecasts - the weather will remain cloudy in the coming weeks, there is no chance of rain"
weather,asking about weather forecast?,this week weather is cloudy and no  rainfall chances during this week.
weather,farmer asked about weather forecast ?,this week weather is mostly clear.no possibilities of rainfall.
weather,asking about weather forecast?,this week weather is cloudy and  rainfall chances during this week
weather,farmer asking about weather forecast ?,this week weather is mostly clear and no possibility  of rainfall chances.
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances
weather,asking about weather forecast ?,this week weather is partially cloudy and no possibility of rainfall temp -min.-22 degree and max.- 36
weather,asking about weather forecast?,this week weather partly cloudy and no  possibility of rainfall.
weather,asking about weather forecast?,this week weather is mostly clear temp -min.-16 degree and max.- 29
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this week-
weather,askingabout weather forecast?,today's weather is partly cloudy and no possibility of rainfall.
weather,asking about weather forecast?,this week partially weather is cloudy and possibility of light rainfall
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this week-
weather,asking about weather forecast?,this week weather is clear and no rainfall chances
weather,asking about weather forecast?,"weather forecasts - the weather will remain cloudy in the coming weeks, there is no chance of rain"
weather,asking about weather forecast?,this week weather is mostly cloudy and no possibility of rainfall
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances during this weektemp -min.-16 degree and max.- 29
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances during this weektemp -min.-16 degree and max.- 29
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances during this weektemp -min.-16 degree and max.- 29
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances during this weektemp -min.-16 degree and max.- 29
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances during this weektemp -min.-16 degree and max.- 29
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances during this weektemp -min.-16 degree and max.- 29
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances during this weektemp -min.-16 degree and max.- 29
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances during this weektemp -min.-16 degree and max.- 29
weather,asking about weather forecast?,"this week weather will be partly cloudy, there is a possibility of light rainfall in some spots ."
weather,asking about weather forecast?,this week weather is cloudy and light  rainfall
weather,asking about weather forecast?,"this week weather will be partly cloudy, there is a possibility of light rainfall in some spots."
weather,asked about market rate of bean ?,24/01/2019mandi  : nasikcommodity : beans(modal price): 5300/quintal
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances .
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances .
weather,asking about weather forecast ?,this week weather is partially cloudy and no possibility of rainfall .
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this week.
weather,asking about weather forecast?,this week weather is cloudy and light possibility of rainfall
weather,asking about weather forecast?,this week weather is cloudy and light possibility of rainfall
weather,asking about weather forecast?,this week weather is cloudy and light possibility of rainfall
weather,asking about weather forecast?,this week weather is cloudy and possibility of rainfall
weather,asking about weather forecast?,this week weather is mostly cloudy and no possibility of rainfall
weather,asking about weather forecast ?,this week weather is cloudy and light possibility of rainfall .
weather,asking about weather forecast?,this week weather is cloudy and light possibility of rainfall .
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances .
weather,asking about weather  forecast ?,this week weather is cloudy and possibility  light rainfall
weather,farmer asked about weather forecast ?,this week weather is cloudy and no rainfall chances during this week
weather,asking about weather forecast?,this week weather partly cloudy and no possibility of rainfall.
weather,asking about weather forecast?,this week weather partly cloudy and possibility of light rainfall.
weather,asking about weather forecast?,this week weather is cloudy and  rainfall chances during this week-
weather,asking about weather forecast ?,this week weather is cloudy and  rainfall chances during this week temp -min.-7 degree and max.- 26
weather,farmer asked about weather forecast of tahsil nandgaon ?,weather report-tahsil nandgaon this week weather is cloudy and no rainfall chances during this week
weather,asking about weather forecast?,this week weather is mostly clear temp -min.160 degree and max. 290
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this week-
weather,asking about weather  forecast ?,this week weather is cloudy and possibility  light rainfall
weather,asking about weather forecast?,weather forecast - todays weather is cloudy and no posibility of rainfall.
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances .
weather,asking about weather forecast?,this week weather is cloudy and light possibility of rainfall
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this week.
weather,asking about weather forecast ?,this week weather is mostly clear temp -min.-16 degree and max.- 29
weather,asking about weather forecast?,"this week weather will be partly cloudy, there is a possibility of light rainfall in some spots."
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances .
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,this week weather will clear there will be no possibility of rainfall .
weather,asking about weather forecast ?,"as per the information received from the indian meteorological department, there is no possibility of rainfall in the district for the next five days. the temperature is 27 degrees maximum"
weather,asking about weather forecast?,this week weather is mostly clear &  temp -min.-17  degree and max.- 28
