Category,Question,Answer
"	plant protection	",preparation of jivamrut ?,for preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill  + 2 kg jaggary + 200 liter water skake well morning and evening till 4 -6 days.
"	plant protection	",farmer asked about fruit drop in fig  ?,fruit drop in fig - apply calcium nitrate 5 kg + boron  500 gram / acre through drip
"	plant protection	",farmer asking about attack of  white flies on brinjal ?,attack of  white flies on brinjal : spray bio 303 22 ml/15 liter of water.
nutrient management,asked about fertilizer spray on onion ?,spray 00 52 34 60 gm /15 lit of water.
fertilizer use and availability,fertilizer spray on onion ?,spray 00 52 34 75  gm /15 lit of water.
fertilizer use and availability,fertilizer spray on onion ?,spray 00 52 34 75  gm /15 lit of water.
fertilizer use and availability,fertilizer spray on onion ?,spray 00 52 34 75  gm /15 lit of water.
fertilizer use and availability,fertilizer spray on onion ?,spray 00 52 34 75  gm /15 lit of water.
fertilizer use and availability,fertilizer spray on onion ?,spray 00 52 34 75  gm /15 lit of water.
government schemes,asking about mushroom project ?,mushroom project agriculture college pune -020 25537033 /038
crop insurance,asking about pradhanmantri rabbi crop insurance scheme ?,last date for pradhanmantri rabbi crop insurance scheme -31/12/2016
crop insurance,asking about pradhanmantri rabbi crop insurance scheme ?,last date for pradhanmantri rabbi crop insurance scheme -31/12/2016
crop insurance,asking about pradhanmantri rabbi crop insurance scheme ?,last date for pradhanmantri rabbi crop insurance scheme -31/12/2016
crop insurance,asking about pradhanmantri rabbi crop insurance scheme ?,last date for pradhanmantri rabbi crop insurance scheme -31/12/2016
crop insurance,asking about pradhanmantri rabbi crop insurance scheme ?,last date for pradhanmantri rabbi crop insurance scheme -31/12/2016
crop insurance,asking about pradhanmantri rabbi crop insurance scheme ?,last date for pradhanmantri rabbi crop insurance scheme -31/12/2016
crop insurance,asking about pradhanmantri rabbi crop insurance scheme ?,last date for pradhanmantri rabbi crop insurance scheme -31/12/2016
crop insurance,asking about pradhanmantri rabbi crop insurance scheme ?,last date for pradhanmantri rabbi crop insurance scheme -31/12/2016
crop insurance,asking about pradhanmantri rabbi crop insurance scheme ?,last date for pradhanmantri rabbi crop insurance scheme -31/12/2016
crop insurance,asking about pradhanmantri rabbi crop insurance scheme ?,last date for pradhanmantri rabbi crop insurance scheme -31/12/2016
crop insurance,asking about pradhanmantri rabbi crop insurance scheme ?,last date for pradhanmantri rabbi crop insurance scheme -31/12/2016
crop insurance,asking about pradhanmantri rabbi crop insurance scheme ?,last date for pradhanmantri rabbi crop insurance scheme -31/12/2016
crop insurance,asking about pradhanmantri rabbi crop insurance scheme ?,last date for pradhanmantri rabbi crop insurance scheme -31/12/2016
crop insurance,asking about pradhanmantri rabbi crop insurance scheme ?,last date for pradhanmantri rabbi crop insurance scheme -31/12/2016
crop insurance,farmer asked about for pradhanmantri crop insurance scheme?website ?,pradhan mantri fasal bima yojana - https://pmfby.gov.in
weed management,farmer ask about weed management in sorghum ?,"weed management in sorghum -spray 2, 4- d 40 gm 20-25 days after sowing /15 liters of wateer."
weed management,farmer ask about weed management in sorghum ?,"weed management in sorghum -spray 2, 4- d 40 gm 20-25 days after sowing /15 liters of wateer."
weed management,farmer ask about weed management in sorghum ?,"weed management in sorghum -spray 2, 4- d 40 gm 20-25 days after sowing /15 liters of wateer."
weed management,farmer ask about weed management in sorghum ?,"weed management in sorghum -spray 2, 4- d 40 gm 20-25 days after sowing /15 liters of wateer."
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
organic farming,rust attack,spray proclaim 5 gm/15lit of water. (emamectin benzoate 5% sg)-syngenta
organic farming,rust attack,spray proclaim 5 gm/15lit of water. (emamectin benzoate 5% sg)-syngenta
organic farming,rust attack,spray proclaim 5 gm/15lit of water. (emamectin benzoate 5% sg)-syngenta
organic farming,rust attack,spray proclaim 5 gm/15lit of water. (emamectin benzoate 5% sg)-syngenta
organic farming,rust attack,spray proclaim 5 gm/15lit of water. (emamectin benzoate 5% sg)-syngenta
organic farming,rust attack,spray proclaim 5 gm/15lit of water. (emamectin benzoate 5% sg)-syngenta
government schemes,asked about varietie,"varieties: sugar baby and arka manik,pkm 1hybrids: arka jyoti and pusa bedana."
government schemes,asked about varietie,"varieties: sugar baby and arka manik,pkm 1hybrids: arka jyoti and pusa bedana."
government schemes,asked about varietie,"varieties: sugar baby and arka manik,pkm 1hybrids: arka jyoti and pusa bedana."
government schemes,asked about varietie,"varieties: sugar baby and arka manik,pkm 1hybrids: arka jyoti and pusa bedana."
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
government schemes,farmer asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,"farmer asked about contact number of  agricultural produce market committee, kalyan  ?",agricultural produce market committee kalyan -0251-297 0316
bio-pesticides and bio-fertilizers,preparation of jivamrut?,for preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill  + 2 kg jaggary + 200 liter water skake well morning and evening till 4 -6 days.
"	plant protection	",asked about fertilizer spray for growth ?,spray 19 19 19 60 gm + microlla 30 ml + humic acid 30 ml /15 liters of water
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
weed management,weed management in bajara  ?,atrazine @ 0.5 to 1 kg a.i /ha as pre-emergence spray or as post emergence spray for juvenile weeds in their 1 to 2 leaf stage.
"	plant protection	",fungal attack on mango ?,spray m-45 30 gm /15 liter water.(mancozeb 75% wp). indofil
seeds and planting material,mango cultivation season?,plant planning: when to plant? it should be done as soon as possible without discussing it. it is best to cultivate during the monsoon or during the rainy season.a) what is the cultivation? it will be economical if it is sown in an adequate and proper manner.
seeds,seed treatment to groundnut ?,seeds are treated with 5 gm thirum / 1 kg of seeds then rhizobium 25 gm  + 25 gm psb in jaggery 150 gm + 1 liters of water
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances
nutrient management,seed treatment to groundnut ?,seeds are treated with 5 gm thirum / 1 kg of seeds then 25 gm psb in jaggery 150 gm + 1 liters of water
"	plant protection	",farmer asked about rust attack bean ?,rust attack bean :- spray ridomil gold 30 gm / 15 liters of water.
"	plant protection	",farmer asked about rust attack bean ?,rust attack bean :- spray ridomil gold 30 gm / 15 liters of water.
"	plant protection	",farmer asked about rust attack bean ?,rust attack bean :- spray ridomil gold 30 gm / 15 liters of water.
"	plant protection	",farmer asked about rust attack bean ?,rust attack bean :- spray ridomil gold 30 gm / 15 liters of water.
"	plant protection	",farmer asked about rust attack bean ?,rust attack bean :- spray ridomil gold 30 gm / 15 liters of water.
vegetative propagation and tissue culture,farmer ask about varieties of bhendi ?,varieties of bhendi -phule utkarsha parbhani kranti arka anamika arka abhay .
nutrient management,fertilizer spray for growth  of drumstick?,fertilizer spray for growth  of drumstick-spray 12 61 00 60 gm + microlla 30 ml /15 liters of water
bio-pesticides and bio-fertilizers,asked about preparation of jivamrut?,for preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill  + 2 kg jaggary + 200 liter water skake well morning and evening till 4 -6 days.
fertilizer use and availability,farmer asked about fertilizer spray on onion ?,fertilizer spray on onion :- spray 19 19 19 40 gm + microlla 30 ml /15 liters of water
fertilizer use and availability,fertilizer application for growth through drip ?,application 19 19 19 3 kg + humic acid 400 ml + microlla 400 ml /200 liters of water
fertilizer use and availability,fertilizer application for growth through drip ?,application 19 19 19 3 kg + humic acid 400 ml + microlla 400 ml /200 liters of water
fertilizer use and availability,fertilizer application for growth through drip ?,application 19 19 19 3 kg + humic acid 400 ml + microlla 400 ml /200 liters of water
fertilizer use and availability,fertilizer application for growth through drip ?,application 19 19 19 3 kg + humic acid 400 ml + microlla 400 ml /200 liters of water
fertilizer use and availability,fertilizer application for growth through drip ?,application 19 19 19 3 kg + humic acid 400 ml + microlla 400 ml /200 liters of water
fertilizer use and availability,fertilizer application for growth through drip ?,application 19 19 19 3 kg + humic acid 400 ml + microlla 400 ml /200 liters of water
fertilizer use and availability,fertilizer application for growth through drip ?,application 19 19 19 3 kg + humic acid 400 ml + microlla 400 ml /200 liters of water
fertilizer use and availability,fertilizer application for growth through drip ?,application 19 19 19 3 kg + humic acid 400 ml + microlla 400 ml /200 liters of water
fertilizer use and availability,fertilizer application for growth through drip ?,application 19 19 19 3 kg + humic acid 400 ml + microlla 400 ml /200 liters of water
fertilizer use and availability,fertilizer application for growth through drip ?,application 19 19 19 3 kg + humic acid 400 ml + microlla 400 ml /200 liters of water
fertilizer use and availability,fertilizer application for growth through drip ?,application 19 19 19 3 kg + humic acid 400 ml + microlla 400 ml /200 liters of water
fertilizer use and availability,fertilizer application for growth through drip ?,application 19 19 19 3 kg + humic acid 400 ml + microlla 400 ml /200 liters of water
fertilizer use and availability,fertilizer application for growth through drip ?,application 19 19 19 3 kg + humic acid 400 ml + microlla 400 ml /200 liters of water
fertilizer use and availability,fertilizer application for growth through drip ?,application 19 19 19 3 kg + humic acid 400 ml + microlla 400 ml /200 liters of water
market information,"punyashlok ahilyadevi sheli mendhi vikas mahamandal, pune contact number ?","punyashlok ahilyadevi sheli mendhi vikas mahamandal, pune contact number  :- 020 25657112"
weather,asking about weather forecast ?,"according to the meteorological department, this week the atmosphere will be partly cloudy and there is no possibility of rainfall.today's temperature is 15 degrees celsius and maximum 30 degrees celsius"
"	plant protection	",attack of thrips ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
"	plant protection	",flower drop in mango,flower drop in mango  - spray planofix 5 ml / 15 lit
government schemes,farmer asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
